"OVERS LEFT","Wickets","Resources"
"50","0","100"
"49","0","99.1"
"48","0","98.1"
"47","0","97.1"
"46","0","96.1"
"45","0","95"
"44","0","93.9"
"43","0","92.8"
"42","0","91.7"
"41","0","90.5"
"40","0","89.3"
"39","0","88"
"38","0","86.7"
"37","0","85.4"
"36","0","84.1"
"35","0","82.7"
"34","0","81.3"
"33","0","79.8"
"32","0","78.3"
"31","0","76.7"
"30","0","75.1"
"29","0","73.5"
"28","0","71.8"
"27","0","70.1"
"26","0","68.3"
"25","0","66.5"
"24","0","64.6"
"23","0","62.7"
"22","0","60.7"
"21","0","58.7"
"20","0","56.6"
"19","0","54.4"
"18","0","52.2"
"17","0","49.9"
"16","0","47.6"
"15","0","45.2"
"14","0","42.7"
"13","0","40.2"
"12","0","37.6"
"11","0","34.9"
"10","0","32.1"
"9","0","29.3"
"8","0","26.4"
"7","0","23.4"
"6","0","20.3"
"5","0","17.2"
"4","0","13.9"
"3","0","10.6"
"2","0","7.2"
"1","0","3.6"
"0","0","0"
"50","1","93.4"
"49","1","92.6"
"48","1","91.7"
"47","1","90.9"
"46","1","90"
"45","1","89.1"
"44","1","88.2"
"43","1","87.3"
"42","1","86.3"
"41","1","85.3"
"40","1","84.2"
"39","1","83.1"
"38","1","82"
"37","1","80.9"
"36","1","79.7"
"35","1","78.5"
"34","1","77.2"
"33","1","75.9"
"32","1","74.6"
"31","1","73.2"
"30","1","71.8"
"29","1","70.3"
"28","1","68.8"
"27","1","67.2"
"26","1","65.6"
"25","1","63.9"
"24","1","62.2"
"23","1","60.4"
"22","1","58.6"
"21","1","56.7"
"20","1","54.8"
"19","1","52.8"
"18","1","50.7"
"17","1","48.5"
"16","1","46.3"
"15","1","44.1"
"14","1","41.7"
"13","1","39.3"
"12","1","36.8"
"11","1","34.2"
"10","1","31.6"
"9","1","28.9"
"8","1","26"
"7","1","23.1"
"6","1","20.1"
"5","1","17"
"4","1","13.8"
"3","1","10.5"
"2","1","7.1"
"1","1","3.6"
"0","1","0"
"50","2","85.1"
"49","2","84.5"
"48","2","83.8"
"47","2","83.2"
"46","2","82.5"
"45","2","81.8"
"44","2","81"
"43","2","80.3"
"42","2","79.5"
"41","2","78.7"
"40","2","77.8"
"39","2","76.9"
"38","2","76"
"37","2","75"
"36","2","74.1"
"35","2","73"
"34","2","72"
"33","2","70.9"
"32","2","69.7"
"31","2","68.6"
"30","2","67.3"
"29","2","66.1"
"28","2","64.8"
"27","2","63.4"
"26","2","62"
"25","2","60.5"
"24","2","59"
"23","2","57.4"
"22","2","55.8"
"21","2","54.1"
"20","2","52.4"
"19","2","50.5"
"18","2","48.6"
"17","2","46.7"
"16","2","44.7"
"15","2","42.6"
"14","2","40.4"
"13","2","38.1"
"12","2","35.8"
"11","2","33.4"
"10","2","30.8"
"9","2","28.2"
"8","2","25.5"
"7","2","22.7"
"6","2","19.8"
"5","2","16.8"
"4","2","13.7"
"3","2","10.4"
"2","2","7.1"
"1","2","3.6"
"0","2","0"
"50","3","74.9"
"49","3","74.4"
"48","3","74"
"47","3","73.5"
"46","3","73"
"45","3","72.5"
"44","3","72"
"43","3","71.4"
"42","3","70.9"
"41","3","70.3"
"40","3","69.6"
"39","3","69"
"38","3","68.3"
"37","3","67.6"
"36","3","66.8"
"35","3","66"
"34","3","65.2"
"33","3","64.4"
"32","3","63.5"
"31","3","62.5"
"30","3","61.6"
"29","3","60.5"
"28","3","59.5"
"27","3","58.4"
"26","3","57.2"
"25","3","56"
"24","3","54.7"
"23","3","53.4"
"22","3","52"
"21","3","50.6"
"20","3","49.1"
"19","3","47.5"
"18","3","45.9"
"17","3","44.1"
"16","3","42.3"
"15","3","40.5"
"14","3","38.5"
"13","3","36.5"
"12","3","34.3"
"11","3","32.1"
"10","3","29.8"
"9","3","27.4"
"8","3","24.8"
"7","3","22.2"
"6","3","19.4"
"5","3","16.5"
"4","3","13.5"
"3","3","10.3"
"2","3","7"
"1","3","3.6"
"0","3","0"
"50","4","62.7"
"49","4","62.5"
"48","4","62.2"
"47","4","61.9"
"46","4","61.6"
"45","4","61.3"
"44","4","61"
"43","4","60.7"
"42","4","60.3"
"41","4","59.9"
"40","4","59.5"
"39","4","59.1"
"38","4","58.7"
"37","4","58.2"
"36","4","57.7"
"35","4","57.2"
"34","4","56.6"
"33","4","56"
"32","4","55.4"
"31","4","54.8"
"30","4","54.1"
"29","4","53.4"
"28","4","52.6"
"27","4","51.8"
"26","4","50.9"
"25","4","50"
"24","4","49"
"23","4","48"
"22","4","47"
"21","4","45.8"
"20","4","44.6"
"19","4","43.4"
"18","4","42"
"17","4","40.6"
"16","4","39.1"
"15","4","37.6"
"14","4","35.9"
"13","4","34.2"
"12","4","32.3"
"11","4","30.4"
"10","4","28.3"
"9","4","26.1"
"8","4","23.8"
"7","4","21.4"
"6","4","18.8"
"5","4","16.1"
"4","4","13.2"
"3","4","10.2"
"2","4","7"
"1","4","3.6"
"0","4","0"
"50","5","49"
"49","5","48.9"
"48","5","48.8"
"47","5","48.6"
"46","5","48.5"
"45","5","48.4"
"44","5","48.3"
"43","5","48.1"
"42","5","47.9"
"41","5","47.8"
"40","5","47.6"
"39","5","47.4"
"38","5","47.1"
"37","5","46.9"
"36","5","46.6"
"35","5","46.4"
"34","5","46.1"
"33","5","45.8"
"32","5","45.4"
"31","5","45.1"
"30","5","44.7"
"29","5","44.2"
"28","5","43.8"
"27","5","43.3"
"26","5","42.8"
"25","5","42.2"
"24","5","41.6"
"23","5","40.9"
"22","5","40.2"
"21","5","39.4"
"20","5","38.6"
"19","5","37.7"
"18","5","36.8"
"17","5","35.8"
"16","5","34.7"
"15","5","33.5"
"14","5","32.2"
"13","5","30.8"
"12","5","29.4"
"11","5","27.8"
"10","5","26.1"
"9","5","24.2"
"8","5","22.3"
"7","5","20.1"
"6","5","17.8"
"5","5","15.4"
"4","5","12.7"
"3","5","9.9"
"2","5","6.8"
"1","5","3.5"
"0","5","0"
"50","6","34.9"
"49","6","34.9"
"48","6","34.9"
"47","6","34.9"
"46","6","34.8"
"45","6","34.8"
"44","6","34.8"
"43","6","34.7"
"42","6","34.7"
"41","6","34.6"
"40","6","34.6"
"39","6","34.5"
"38","6","34.5"
"37","6","34.4"
"36","6","34.3"
"35","6","34.2"
"34","6","34.1"
"33","6","34"
"32","6","33.9"
"31","6","33.7"
"30","6","33.6"
"29","6","33.4"
"28","6","33.2"
"27","6","33"
"26","6","32.8"
"25","6","32.6"
"24","6","32.3"
"23","6","32"
"22","6","31.6"
"21","6","31.2"
"20","6","30.8"
"19","6","30.3"
"18","6","29.8"
"17","6","29.2"
"16","6","28.5"
"15","6","27.8"
"14","6","27"
"13","6","26.1"
"12","6","25.1"
"11","6","24"
"10","6","22.8"
"9","6","21.4"
"8","6","19.9"
"7","6","18.2"
"6","6","16.4"
"5","6","14.3"
"4","6","12"
"3","6","9.5"
"2","6","6.6"
"1","6","3.5"
"0","6","0"
"50","7","22"
"49","7","22"
"48","7","22"
"47","7","22"
"46","7","22"
"45","7","22"
"44","7","22"
"43","7","22"
"42","7","22"
"41","7","22"
"40","7","22"
"39","7","22"
"38","7","21.9"
"37","7","21.9"
"36","7","21.9"
"35","7","21.9"
"34","7","21.9"
"33","7","21.9"
"32","7","21.9"
"31","7","21.9"
"30","7","21.8"
"29","7","21.8"
"28","7","21.8"
"27","7","21.7"
"26","7","21.7"
"25","7","21.6"
"24","7","21.6"
"23","7","21.5"
"22","7","21.4"
"21","7","21.3"
"20","7","21.2"
"19","7","21.1"
"18","7","20.9"
"17","7","20.7"
"16","7","20.5"
"15","7","20.2"
"14","7","19.9"
"13","7","19.5"
"12","7","19"
"11","7","18.5"
"10","7","17.9"
"9","7","17.1"
"8","7","16.2"
"7","7","15.2"
"6","7","13.9"
"5","7","12.5"
"4","7","10.7"
"3","7","8.7"
"2","7","6.2"
"1","7","3.4"
"0","7","0"
"50","8","11.9"
"49","8","11.9"
"48","8","11.9"
"47","8","11.9"
"46","8","11.9"
"45","8","11.9"
"44","8","11.9"
"43","8","11.9"
"42","8","11.9"
"41","8","11.9"
"40","8","11.9"
"39","8","11.9"
"38","8","11.9"
"37","8","11.9"
"36","8","11.9"
"35","8","11.9"
"34","8","11.9"
"33","8","11.9"
"32","8","11.9"
"31","8","11.9"
"30","8","11.9"
"29","8","11.9"
"28","8","11.9"
"27","8","11.9"
"26","8","11.9"
"25","8","11.9"
"24","8","11.9"
"23","8","11.9"
"22","8","11.9"
"21","8","11.9"
"20","8","11.9"
"19","8","11.9"
"18","8","11.9"
"17","8","11.9"
"16","8","11.8"
"15","8","11.8"
"14","8","11.8"
"13","8","11.7"
"12","8","11.6"
"11","8","11.5"
"10","8","11.4"
"9","8","11.2"
"8","8","10.9"
"7","8","10.5"
"6","8","10.1"
"5","8","9.4"
"4","8","8.4"
"3","8","7.2"
"2","8","5.5"
"1","8","3.2"
"0","8","0"
"50","9","4.7"
"49","9","4.7"
"48","9","4.7"
"47","9","4.7"
"46","9","4.7"
"45","9","4.7"
"44","9","4.7"
"43","9","4.7"
"42","9","4.7"
"41","9","4.7"
"40","9","4.7"
"39","9","4.7"
"38","9","4.7"
"37","9","4.7"
"36","9","4.7"
"35","9","4.7"
"34","9","4.7"
"33","9","4.7"
"32","9","4.7"
"31","9","4.7"
"30","9","4.7"
"29","9","4.7"
"28","9","4.7"
"27","9","4.7"
"26","9","4.7"
"25","9","4.7"
"24","9","4.7"
"23","9","4.7"
"22","9","4.7"
"21","9","4.7"
"20","9","4.7"
"19","9","4.7"
"18","9","4.7"
"17","9","4.7"
"16","9","4.7"
"15","9","4.7"
"14","9","4.7"
"13","9","4.7"
"12","9","4.7"
"11","9","4.7"
"10","9","4.7"
"9","9","4.7"
"8","9","4.7"
"7","9","4.7"
"6","9","4.6"
"5","9","4.6"
"4","9","4.5"
"3","9","4.2"
"2","9","3.7"
"1","9","2.5"
"0","9","0"
